readLength	qualityScore	positionInRead	N	ExpectedCorrect	EmpiricalCorrect
101	5	16	41662	0.99	0.992967197326101
101	6	16	279442	0.992057	0.990677841552091
101	7	16	192594	0.99369	0.994693517882176
101	8	16	710997	0.994988	0.994424734861048
101	9	16	1727830	0.996019	0.995171395934206
101	:	16	6953174	0.996838	0.997144476267959
101	;	16	2365673	0.997488	0.997667459208014
101	<	16	13838164	0.998005	0.99846489511766
101	=	16	646897	0.998415	0.998342854097329
101	>	16	3969776	0.998741	0.998448023346153
101	?	16	9023302	0.999	0.999085368672134
101	@	16	10653201	0.999206	0.998966591139976
101	A	16	19792918	0.999369	0.999463122096197
101	B	16	23976495	0.999499	0.999453302706421
101	C	16	20437627	0.999602	0.999697280517305
101	D	16	14610256	0.999684	0.999631834270324
101	E	16	49518212	0.999749	0.999710910198295
101	F	16	43603990	0.9998	0.999798590255502
101	G	16	123741391	0.999842	0.999793646183887
101	H	16	93595368	0.999874	0.999851810280998
101	I	16	280717241	0.9999	0.999864131451092
101	J	16	825835415	0.999921	0.999887731756267
101	#	17	2948241	0.369043	0.869662963334408
101	&	17	11818	0.683772	0.727957412675582
101	'	17	40170	0.748811	0.819616642917601
101	(	17	54729	0.800474	0.859489492097427
101	)	17	761075	0.841511	0.832577616753933
101	*	17	134767	0.874107	0.900628493540704
101	+	17	4471383	0.9	0.893549931582242
101	,	17	1584714	0.920567	0.922739371880352
101	-	17	24580	0.936904	0.96769729214809
101	.	17	32263	0.949881	0.973870969934601
101	/	17	39690	0.960189	0.971655314865206
101	0	17	162142	0.968377	0.979419261394331
101	1	17	918966	0.974881	0.979222325540878
101	2	17	5573066	0.980047	0.991104900844167
101	3	17	1518154	0.984151	0.986832691759861
101	4	17	1582260	0.987411	0.987247985448662
101	5	17	47758	0.99	0.993487989111772
